timestamp,open,high,low,close,volume
2024-08-29 19:00:00,59160.0,59710.5,58940.67,59265.36,851.576058
2024-08-29 20:00:00,59265.36,59528.97,59226.41,59528.97,447.526523
2024-08-29 21:00:00,59528.97,59640.13,59425.25,59493.26,254.912604
2024-08-29 22:00:00,59493.26,59493.63,58703.08,59208.71,907.86122
2024-08-29 23:00:00,59208.71,59398.09,59135.09,59348.57,343.769884
2024-08-30 00:00:00,59348.57,59484.74,59121.08,59203.78,958.407205
2024-08-30 01:00:00,59203.78,59302.51,58951.17,59219.1,845.771645
2024-08-30 02:00:00,59219.1,59339.17,59051.23,59201.51,863.358096
2024-08-30 03:00:00,59201.51,59214.61,58905.73,59038.79,737.583806
2024-08-30 04:00:00,59038.79,59161.51,59006.3,59018.0,516.473401
2024-08-30 05:00:00,59018.0,59035.1,58682.81,58793.71,800.891316
2024-08-30 06:00:00,58793.71,59378.04,58707.65,59357.01,712.334283
2024-08-30 07:00:00,59357.01,59592.48,59235.27,59274.2,780.230027
2024-08-30 08:00:00,59274.2,59584.49,59273.61,59451.11,676.444074
2024-08-30 09:00:00,59451.11,59665.6,59417.5,59586.22,668.501399
2024-08-30 10:00:00,59586.22,59677.77,59425.14,59583.91,778.482344
2024-08-30 11:00:00,59583.91,59647.77,59317.11,59398.29,794.920033
2024-08-30 12:00:00,59398.29,59944.16,59370.59,59540.69,943.47909
2024-08-30 13:00:00,59540.69,59672.92,58913.04,59661.56,1142.902672
2024-08-30 14:00:00,59661.56,59840.23,58430.53,58454.13,1650.772174
2024-08-30 15:00:00,58454.13,58682.05,57938.0,58093.53,1649.33782
2024-08-30 16:00:00,58093.53,58606.24,57700.0,58549.68,1409.764344
2024-08-30 17:00:00,58549.68,58826.08,58400.14,58632.87,858.784221
2024-08-30 18:00:00,58632.87,59387.05,58621.66,59376.63,892.741705
2024-08-30 19:00:00,59376.63,59376.63,58694.68,58694.68,674.938966
2024-08-30 20:00:00,58694.68,59056.49,58693.73,59054.7,489.042198
2024-08-30 21:00:00,59054.7,59162.58,58974.48,59056.48,210.746533
2024-08-30 22:00:00,59056.48,59304.31,59047.06,59231.72,265.089755
2024-08-30 23:00:00,59231.72,59279.5,59089.13,59130.23,135.01954
2024-08-31 00:00:00,59130.23,59463.0,59066.78,59239.98,385.792777
2024-08-31 01:00:00,59239.98,59339.11,59180.99,59283.1,193.189836
2024-08-31 02:00:00,59283.1,59299.01,59141.79,59203.91,192.093866
2024-08-31 03:00:00,59203.91,59258.26,59134.31,59235.85,108.160019
2024-08-31 04:00:00,59235.85,59353.2,59214.3,59347.95,125.834694
2024-08-31 05:00:00,59347.95,59347.95,59204.45,59210.48,183.16774
2024-08-31 06:00:00,59210.48,59271.89,59152.85,59161.5,184.368417
2024-08-31 07:00:00,59161.5,59199.89,59069.7,59096.03,223.894909
2024-08-31 08:00:00,59096.03,59134.96,58946.54,58976.45,211.048587
2024-08-31 09:00:00,58976.45,59029.34,58830.08,58907.11,422.272083
2024-08-31 10:00:00,58907.11,59165.64,58867.69,59136.14,266.627497
2024-08-31 11:00:00,59136.14,59176.85,59093.88,59120.8,197.434617
2024-08-31 12:00:00,59120.8,59242.13,59061.39,59188.65,309.112324
2024-08-31 13:00:00,59188.65,59249.42,58933.38,58955.01,319.608717
2024-08-31 14:00:00,58955.01,59165.62,58890.82,59128.05,454.347314
2024-08-31 15:00:00,59128.05,59157.92,58966.81,59018.93,389.719292
2024-08-31 16:00:00,59018.93,59037.26,58850.02,58971.86,325.615933
2024-08-31 17:00:00,58971.86,59040.0,58736.42,59011.19,539.927055
2024-08-31 18:00:00,59011.19,59140.0,58868.03,58918.44,543.741808
2024-08-31 19:00:00,58918.44,58947.93,58824.71,58859.42,379.509214
2024-08-31 20:00:00,58859.42,58975.67,58789.0,58952.05,348.125088
2024-08-31 21:00:00,58952.05,59139.34,58915.98,59055.91,248.775391
2024-08-31 22:00:00,59055.91,59132.78,59000.44,59025.52,334.473249
2024-08-31 23:00:00,59025.52,59063.89,58930.28,58972.48,290.157184
2024-09-01 00:00:00,58972.48,59080.67,58900.39,58937.19,423.351183
2024-09-01 01:00:00,58937.19,58961.49,58828.6,58830.78,526.494885
2024-09-01 02:00:00,58830.78,58874.48,58272.43,58544.37,1100.334691
2024-09-01 03:00:00,58544.37,58676.19,58405.11,58532.57,558.784013
2024-09-01 04:00:00,58532.57,58606.32,58362.62,58440.95,523.211722
2024-09-01 05:00:00,58440.95,58471.89,57766.92,57990.29,1244.488976
2024-09-01 06:00:00,57990.29,58303.88,57952.6,58197.94,662.237077
